framework,suite,test,time_ms
"TC39 Signals Polyfill","dynamic","10x10 - 6 sources - dynamic - read 20% (dynamic component)","497.5293"
"TC39 Signals Polyfill","dynamic","1000x12 - 4 sources - dynamic (large web app)","10088.903"
"TC39 Signals Polyfill","dynamic","1000x5 - 25 sources (wide dense)","7118.8882"
"TC39 Signals Polyfill","dynamic","5x500 - 3 sources (deep)","340.2435"
"TC39 Signals Polyfill","cellx","cellx10","0.0804"
"TC39 Signals Polyfill","cellx","cellx20","0.0837"
"TC39 Signals Polyfill","cellx","cellx30","0.0632"
"SolidJS","kairo","avoidablePropagation","295.2927"
"SolidJS","kairo","broadPropagation","699.3985"
"SolidJS","kairo","deepPropagation","282.4828"
"SolidJS","kairo","diamond","400.8549"
"SolidJS","kairo","mux","405.5737"
"SolidJS","kairo","repeatedObservers","53.4135"
"SolidJS","kairo","triangle","137.1367"
"SolidJS","kairo","unstable","81.1495"
"SolidJS","mol","molBench","407.4026"
"SolidJS","s","createDataSignals","6.2292"
"SolidJS","s","createComputations0to1","6.2189"
"SolidJS","s","createComputations1to1","38.6837"
"SolidJS","s","createComputations2to1","37.3815"
"SolidJS","s","createComputations4to1","9.8833"
"SolidJS","s","createComputations1000to1","7.1966"
"SolidJS","s","createComputations1to2","15.2015"
"SolidJS","s","createComputations1to4","11.4278"
"SolidJS","s","createComputations1to8","10.5586"
"SolidJS","s","createComputations1to1000","9.8503"
"SolidJS","s","updateComputations1to1","55.1601"
"SolidJS","s","updateComputations2to1","37.8405"
"SolidJS","s","updateComputations4to1","29.7277"
"SolidJS","s","updateComputations1000to1","20.4412"
"SolidJS","s","updateComputations1to2","37.0847"
"SolidJS","s","updateComputations1to4","33.3526"
"SolidJS","s","updateComputations1to1000","30.5457"
"SolidJS","dynamic","10x5 - 2 sources - read 20% (simple component)","1155.2833"
"SolidJS","dynamic","10x10 - 6 sources - dynamic - read 20% (dynamic component)","447.2214"
"SolidJS","dynamic","1000x12 - 4 sources - dynamic (large web app)","544.7369"
"SolidJS","dynamic","1000x5 - 25 sources (wide dense)","902.6962"
"SolidJS","dynamic","5x500 - 3 sources (deep)","271.6985"
"SolidJS","cellx","cellx10","0.0435"
"SolidJS","cellx","cellx20","0.0494"
"SolidJS","cellx","cellx30","0.0347"
"Svelte v5","kairo","avoidablePropagation","423.6112"
"Svelte v5","kairo","broadPropagation","665.8266"
"Svelte v5","kairo","deepPropagation","295.7743"
"Svelte v5","kairo","diamond","439.7207"
"Svelte v5","kairo","mux","291.5355"
"Svelte v5","kairo","repeatedObservers","56.6621"
"Svelte v5","kairo","triangle","152.9807"
"Svelte v5","kairo","unstable","92.9747"
"Svelte v5","mol","molBench","353.7846"
"Svelte v5","s","createDataSignals","4.7323"
"Svelte v5","s","createComputations0to1","13.2511"
"Svelte v5","s","createComputations1to1","19.3035"
"Svelte v5","s","createComputations2to1","12.36"
"Svelte v5","s","createComputations4to1","8.3237"
"Svelte v5","s","createComputations1000to1","4.7826"
"Svelte v5","s","createComputations1to2","14.6917"
"Svelte v5","s","createComputations1to4","13.463"
"Svelte v5","s","createComputations1to8","13.5232"
"Svelte v5","s","createComputations1to1000","12.2273"
"Svelte v5","s","updateComputations1to1","114.0864"
"Svelte v5","s","updateComputations2to1","59.0248"
"Svelte v5","s","updateComputations4to1","31.4195"
"Svelte v5","s","updateComputations1000to1","3.6988"
"Svelte v5","s","updateComputations1to2","67.7653"
"Svelte v5","s","updateComputations1to4","43.7481"
"Svelte v5","s","updateComputations1to1000","19.5415"
"Svelte v5","dynamic","10x5 - 2 sources - read 20% (simple component)","580.6141"
"Svelte v5","dynamic","10x10 - 6 sources - dynamic - read 20% (dynamic component)","260.7445"
"Svelte v5","dynamic","1000x12 - 4 sources - dynamic (large web app)","448.9603"
"Svelte v5","dynamic","1000x5 - 25 sources (wide dense)","457.185"
"Svelte v5","dynamic","5x500 - 3 sources (deep)","222.2232"
"Svelte v5","cellx","cellx10","0.0997"
"Svelte v5","cellx","cellx20","2.036"
"Svelte v5","cellx","cellx30","244.3451"
"@amadeus-it-group/tansu","kairo","avoidablePropagation","190.7771"
"@amadeus-it-group/tansu","kairo","broadPropagation","516.8554"
"@amadeus-it-group/tansu","kairo","deepPropagation","134.3086"
"@amadeus-it-group/tansu","kairo","diamond","192.2066"
"@amadeus-it-group/tansu","kairo","mux","404.904"
"@amadeus-it-group/tansu","kairo","repeatedObservers","38.7951"
"@amadeus-it-group/tansu","kairo","triangle","69.3105"
"@amadeus-it-group/tansu","kairo","unstable","98.9061"
"@amadeus-it-group/tansu","mol","molBench","345.3064"
"@amadeus-it-group/tansu","s","createDataSignals","9.7492"
"@amadeus-it-group/tansu","s","createComputations0to1","8.8794"
"@amadeus-it-group/tansu","s","createComputations1to1","35.1291"
"@amadeus-it-group/tansu","s","createComputations2to1","22.002"
